Impact on Average Shortest Path Length,Node,Length
0.0,3 Av-149 St,0.0
0.0,21 St-Queensbridge,0.0
0.0,149 St-Grand Concourse,0.0
0.0,Roosevelt Island,0.0
0.0,135 St,0.0
0.0,57 St,0.0
0.0,125 St,0.0
0.0,47-50 Sts-Rockefeller Ctr,0.0
0.0,116 St,0.0
0.0,42 St-Bryant Pk,0.0
0.0,Central Park North (110 St),0.0
0.0,34 St-Herald Sq,0.0
0.0,Park Place,0.0
0.0,23 St,0.0
0.0,Fulton St,0.0
0.0,14 St,0.0
0.0,Wall St,0.0
0.0,Broadway-Lafayette St,0.0
0.0,Clark St,0.0
0.0,Grand St,0.0
0.0,Borough Hall,0.0
0.0,2 Av,0.0
0.0,Hoyt St,0.0
0.0,Delancey St-Essex St,0.0
0.0,Nevins St,0.0
0.0,East Broadway,0.0
0.0,Atlantic Av-Barclays Ctr,0.0
0.0,York St,0.0
0.0,Bergen St,0.0
0.0,Grand Army Plaza,0.0
0.0,Carroll St,0.0
0.0,Eastern Pkwy-Brooklyn Museum,0.0
0.0,Smith-9 Sts,0.0
0.0,Franklin Av-Medgar Evers College,0.0
0.0,4 Av-9 St,0.0
0.0,President St-Medgar Evers College,0.0
0.0,15 St-Prospect Park,0.0
0.0,Sterling St,0.0
0.0,Fort Hamilton Pkwy,0.0
0.0,Winthrop St,0.0
0.0,Church Av,0.0
0.0,Ditmas Av,0.0
0.0,Beverly Rd,0.0
0.0,18 Av,0.0
0.0,Newkirk Av-Little Haiti,0.0
0.0,Avenue I,0.0
0.0,Flatbush Av-Brooklyn College,0.0
0.0,Bay Pkwy,0.0
0.0,Nostrand Av,0.0
0.0,Avenue N,0.0
0.0,Kingston Av,0.0
0.0,Avenue P,0.0
0.0,Crown Hts-Utica Av,0.0
0.0,Kings Hwy,0.0
0.0,Sutter Av-Rutland Rd,0.0
0.0,Avenue U,0.0
0.0,Saratoga Av,0.0
0.0,Avenue X,0.0
0.0,Rockaway Av,0.0
0.0,Neptune Av,0.0
0.0,Harlem-148 St,0.0
0.0,181 St,0.0
0.0,145 St,0.0
0.0,168 St-Washington Hts,0.0
0.0,137 St-City College,0.0
0.0,8 Av,0.0
0.0,6 Av,0.0
0.0,116 St-Columbia University,0.0
0.0,14 St-Union Sq,0.0
0.0,Cathedral Pkwy (110 St),0.0
0.0,3 Av,0.0
0.0,103 St,0.0
0.0,1 Av,0.0
0.0,96 St,0.0
0.0,Bedford Av,0.0
0.0,86 St,0.0
0.0,Lorimer St,0.0
0.0,79 St,0.0
0.0,Graham Av,0.0
0.0,72 St,0.0
0.0,66 St-Lincoln Center,0.0
0.0,Montrose Av,0.0
0.0,59 St-Columbus Circle,0.0
0.0,Morgan Av,0.0
0.0,50 St,0.0
0.0,Jefferson St,0.0
0.0,Times Sq-42 St,0.0
0.0,DeKalb Av,0.0
0.0,34 St-Penn Station,0.0
0.0,Myrtle-Wyckoff Avs,0.0
0.0,28 St,0.0
0.0,Halsey St,0.0
0.0,Wilson Av,0.0
0.0,18 St,0.0
0.0,Bushwick Av-Aberdeen St,0.0
0.0,Christopher St-Sheridan Sq,0.0
0.0,Atlantic Av,0.0
0.0,Houston St,0.0
0.0,Sutter Av,0.0
0.0,Canal St,0.0
0.0,Livonia Av,0.0
0.0,Franklin St,0.0
0.0,New Lots Av,0.0
0.0,Chambers St,0.0
0.0,East 105 St,0.0
0.0,WTC Cortlandt,0.0
0.0,Canarsie-Rockaway Pkwy,0.0
0.0,Allerton Av,0.0
0.0,Norwood-205 St,0.0
0.0,Pelham Pkwy,0.0
0.0,Bedford Park Blvd,0.0
0.0,Bronx Park East,0.0
0.0,Kingsbridge Rd,0.0
0.0,E 180 St,0.0
0.0,Fordham Rd,0.0
0.0,West Farms Sq-E Tremont Av,0.0
0.0,182-183 Sts,0.0
0.0,174 St,0.0
0.0,Tremont Av,0.0
0.0,Freeman St,0.0
0.0,174-175 Sts,0.0
0.0,Simpson St,0.0
0.0,170 St,0.0
0.0,Intervale Av,0.0
0.0,167 St,0.0
0.0,Prospect Av,0.0
0.0,161 St-Yankee Stadium,0.0
0.0,Jackson Av,0.0
0.0,155 St,0.0
0.0,Rector St,0.0
0.0,Franklin Av,0.0
0.0,South Ferry,0.0
0.0,Botanic Garden,0.0
0.0,Van Cortlandt Park-242 St,0.0
0.0,Marcy Av,0.0
0.0,238 St,0.0
0.0,Bowery,0.0
0.0,231 St,0.0
0.0,Marble Hill-225 St,0.0
0.0,215 St,0.0
0.0,Broad St,0.0
0.0,138 St-Grand Concourse,0.0
0.0,Wakefield-241 St,0.0
0.0,233 St,0.0
0.0,225 St,0.0
0.0,Bowling Green,0.0
0.0,219 St,0.0
0.0,Woodlawn,0.0
0.0,51 St,0.0
0.0,Mosholu Pkwy,0.0
0.0,Grand Central-42 St,0.0
0.0,Bedford Park Blvd-Lehman College,0.0
0.0,Astor Pl,0.0
0.0,183 St,0.0
0.0,Bleecker St,0.0
0.0,Burnside Av,0.0
0.0,Spring St,0.0
0.0,176 St,0.0
0.0,Mt Eden Av,0.0
0.0,Brooklyn Bridge-City Hall,0.0
0.0,207 St,0.0
0.0,Middle Village-Metropolitan Av,0.0
0.0,Dyckman St,0.0
0.0,Fresh Pond Rd,0.0
0.0,191 St,0.0
0.0,Forest Av,0.0
0.0,Seneca Av,0.0
0.0,157 St,0.0
0.0,Knickerbocker Av,0.0
0.0,Central Av,0.0
0.0,Junius St,0.0
0.0,Jamaica-179 St,0.0
0.0,Pennsylvania Av,0.0
0.0,169 St,0.0
0.0,Van Siclen Av,0.0
0.0,Parsons Blvd,0.0
0.0,Sutphin Blvd,0.0
0.0,Beach 98 St,0.0
0.0,Nereid Av,0.0
0.0,Beach 67 St,0.0
0.0,Beach 60 St,0.0
0.0,Beach 44 St,0.0
0.0,Beach 36 St,0.0
0.0,Gun Hill Rd,0.0
0.0,Beach 25 St,0.0
0.0,Burke Av,0.0
0.0,Far Rockaway-Mott Av,0.0
0.0,Eastchester-Dyre Av,0.0
0.0,St George,0.0
0.0,Baychester Av,0.0
0.0,Tompkinsville,0.0
0.0,Stapleton,0.0
0.0,Clifton,0.0
0.0,Morris Park,0.0
0.0,Grasmere,0.0
